Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
46	:	1534338648.388	     0.716	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_4.out --out_folder ./output3_postprocessed
47	:	1534338648.452	     0.700	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_50.out --out_folder ./output3_postprocessed
51	:	1534338648.584	     0.599	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_54.out --out_folder ./output3_postprocessed
42	:	1534338648.310	     0.932	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_46.out --out_folder ./output3_postprocessed
49	:	1534338648.577	     0.705	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_52.out --out_folder ./output3_postprocessed
54	:	1534338648.728	     0.573	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_57.out --out_folder ./output3_postprocessed
53	:	1534338648.696	     0.645	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_56.out --out_folder ./output3_postprocessed
48	:	1534338648.574	     0.777	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_51.out --out_folder ./output3_postprocessed
59	:	1534338648.876	     0.516	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_61.out --out_folder ./output3_postprocessed
50	:	1534338648.579	     0.815	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_53.out --out_folder ./output3_postprocessed
52	:	1534338648.663	     0.839	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_55.out --out_folder ./output3_postprocessed
55	:	1534338648.818	     0.741	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_58.out --out_folder ./output3_postprocessed
64	:	1534338649.003	     0.592	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_66.out --out_folder ./output3_postprocessed
56	:	1534338648.843	     0.794	0	0	0	0	./visuallize_world_cup.py --src_file ./output2_raw_merged/day_59.out --out_folder ./output3_postprocessed
